1	龙之谷启程	https://sdkn-ldy.zhangyu39.com/?app_id=7259&promote_id=1778	https://sdkn-ldy.zhangyu39.com/?app_id=7485&promote_id=1778	https://sdkn-ldy.zhangyu39.com/?app_id=7259&promote_id=1778
45	热血江湖2.0	https://jh.fmbly.com/	https://res-engine-rxyqcy.cyltc.com/package/rx/4510454/promote/4510454_4515285_c866021f3ef54b8bdece6de6a4ae7951.apk?v=1788665710	https://uf5.uwanting.com/gr7bt2
21	武林外传：十年之约	https://wulin.fmbly.com/	https://sdkn-ldy.zhangyu39.com/?app_id=7631&promote_id=1778	https://sdkn-ldy.zhangyu39.com/?app_id=7606&promote_id=1778
2	墨香情	https://sdkn-ldy.zhangyu39.com/?app_id=7032&promote_id=1778	https://sdkn-ldy.zhangyu39.com/?app_id=7408&promote_id=1778	https://sdkn-ldy.zhangyu39.com/?app_id=7032&promote_id=1778
3	星辰变：归来	https://sdkn-ldy.zhangyu39.com/?app_id=7205&promote_id=1778		
4	飞飞：重逢	https://sdkn-ldy.zhangyu39.com/?app_id=7012&promote_id=1778		
5	神泣：纷争	https://sdkn-ldy.zhangyu39.com/?app_id=7188&promote_id=1778		
6	荣耀出征卡点服	https://229663.youxin75.com/qudao.php?s=/Download/f/WzUwODgsNTA4NywyMjk2NjNd		
7	千年盛世：千年传奇版	https://229663.youxin75.com/qudao.php?s=/Download/f/WzUwNzQsNTA3MywyMjk2NjNd		
8	龙城秘境：凤凰沉默	https://229663.youxin75.com/qudao.php?s=/Download/f/WzUwNjMsNTA2MiwyMjk2NjNd		
9	剑与翼—经典复刻	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQ5MzgsNDkzNywyMjk2NjNd		
10	龙城秘境：觉醒合击	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQ5MzYsNDkzNSwyMjk2NjNd		
11	小小屠龙：原始火龙	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQ4NDEsNDg0MCwyMjk2NjNd		
12	荣耀出征	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQ3MTksNDcxOCwyMjk2NjNd		
13	龙城秘境：重返冰雪	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQ2NTEsNDY1MCwyMjk2NjNd		
14	决战破晓	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQ1ODQsNDU4MywyMjk2NjNd		
15	小小屠龙：幻变三职业	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQ1MDksNDUwOCwyMjk2NjNd		
16	小小屠龙：灵符自由版	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQ0MzgsNDQzNywyMjk2NjNd		
17	小小屠龙：3D合击版	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQzODYsNDM4NSwyMjk2NjNd		
18	风暴远征：英雄年代联动版	https://229663.youxin75.com/qudao.php?s=/Download/f/WzAsNDM2OSwyMjk2NjNd		
19	永恒岛：高清重制版	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQzNDYsNDM0NSwyMjk2NjNd		
20	魔力宝贝回忆十宠版	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQzMzgsNDMzNywyMjk2NjNd		
22	热江：武林版	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQzNjMsNDMwOSwyMjk2NjNd		
23	飞飞：重逢	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQyNjQsNDI2MywyMjk2NjNd		
24	小小屠龙：卡点重置版	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQxMTEsNDExMCwyMjk2NjNd		
25	奇迹世界：起源	https://229663.youxin75.com/qudao.php?s=/Download/f/WzQwODgsNDA4NywyMjk2NjNd		
